30477	他	\N	tā	other / another / some other	noun	\N	\N	文言文	Literary Chinese	\N	\N	\N	ta1.mp3	 In the sense of 另外. For example, in the Classic of Rites, 在他國 'being in another state.' (Legge, 1885, Questions of Zeng-zi 《禮記‧曾子問》) (Guoyu '他' tā n; Ho, 2002, '他' 2; Kroll '他' 1; NCCED '他' 1)	518
43052	目揵连	目揵連	Mùjiānlián	Moggallāna / Maudgalyāyana	proper noun	十大弟子	One of the Buddha's ten great disciples	佛教	Buddhism	\N	\N	\N	\N	See 目犍連 (FGDB '目犍連')	43052
43661	罗阅城	羅閱城	Luóyuè Chéng	Rājagṛha / Rajgir / Rajagrha / Rājagaha	proper noun	城市	City	佛教	Buddhism	印度	India	\N	\N	See 王舍城	43661
51284	力	\N	lì	ability / capability	noun	\N	\N	文言文	Literary Chinese	\N	\N	\N	li4.mp3	FGS translation standard: ability (Unihan '力')	972
101695	他力	\N	tālì	the power of another	set phrase	\N	\N	佛教	Buddhism	\N	\N	\N	\N	Said of a Buddhist practitioner who relies on the power of a Buddha or bodhisattva for help for salvation (Ding '他力'; FGDB '他力'; SH '他力')	101695
101676	夫家	\N	fūjiā	husband's family	noun	\N	\N	文言文	Literary Chinese	\N	\N	\N	\N	(Guoyu '夫家' 1)	101676
